Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FANS,PLAYERS,MEDIA,SCORE
Bruno Fernando,C,22,ATL,15,0,8.8,0.6,1.5,0.409,0,0.1,0,0.6,1.3,0.45,0.409,0.6,1,0.6,0.8,2.7,3.5,0.6,0.1,0.1,0.8,1,1.8,1185,1,0,100.2
Dorian Finney-Smith,PF,27,DAL,19,19,30.7,3.3,7.4,0.45,1.9,5.1,0.381,1.4,2.3,0.605,0.582,0.5,0.6,0.833,1.5,3.3,4.8,1.2,1,0.4,0.6,2.7,9.1,12082,6,0,68.5
Malachi Flynn,PG,22,TOR,13,0,8.2,0.8,3,0.282,0.4,1.8,0.217,0.5,1.2,0.375,0.346,0.2,0.3,0.5,0.1,0.6,0.7,1.2,0.3,0,0.3,0.8,2.2,596,0,0,134.2
Bryn Forbes,SG,27,MIL,28,5,18.4,3.5,7.2,0.48,2,4.3,0.471,1.4,2.9,0.494,0.621,0.5,0.7,0.7,0.2,1,1.1,0.5,0.3,0,0.7,1.2,9.5,2042,1,0,77.8
Evan Fournier,SF,28,ORL,15,15,28.7,5.8,12.9,0.451,2.3,6.2,0.366,3.5,6.7,0.53,0.539,4,5,0.8,0.3,2.3,2.5,3.6,1,0.4,2.1,2.3,17.9,22712,2,0,56.8
De'Aaron Fox,PG,23,SAC,26,26,33.1,8.4,17.7,0.476,1.8,5.4,0.343,6.6,12.3,0.534,0.528,4.5,6.6,0.69,0.7,2.6,3.3,6.8,1.2,0.5,3.1,2.7,23.2,192247,27,0,38.8
Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1,0.3,2.3,2.3,12.9,7174,0,0,104.2
Daniel Gafford,PF,22,CHI,23,11,14.3,2.1,3.2,0.671,0,0,0,2.1,3.2,0.671,0.671,1.1,1.6,0.676,1.4,1.9,3.3,0.7,0.5,1.3,0.8,2,5.3,2197,0,0,131.5
Danilo Gallinari,PF,32,ATL,16,1,19.7,3,7.6,0.397,1.6,4.3,0.377,1.4,3.3,0.423,0.504,3.1,3.3,0.942,0.2,2.7,2.9,1.1,0.2,0.1,1.2,1.9,10.7,11961,1,0,74.2
Langston Galloway,SG,29,PHO,22,0,11.1,1.5,3.3,0.466,0.9,1.9,0.476,0.6,1.4,0.452,0.603,0.7,0.7,1,0.2,0.9,1.1,0.7,0.2,0,0.3,0.6,4.7,538,2,0,87.8
Darius Garland,PG,21,CLE,21,18,32.3,6.4,14.2,0.452,1.7,4.1,0.407,4.8,10.1,0.469,0.51,1.3,1.5,0.903,0.5,1.8,2.2,5.3,1,0.1,2.5,2.4,15.9,20520,1,0,59.2
Marc Gasol,C,36,LAL,29,29,20,1.4,3.4,0.4,0.7,2,0.351,0.7,1.5,0.465,0.5,0.8,0.9,0.88,0.8,3.4,4.2,1.8,0.4,1.2,0.8,2.4,4.2,46896,4,0,59
Rudy Gay,PF,34,SAS,26,0,22,4.2,9.9,0.419,1.6,4.3,0.366,2.6,5.6,0.459,0.498,1.3,1.7,0.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2,22129,1,0,70.5
Paul George,SF,30,LAC,20,20,34,8.4,16.6,0.508,3.8,7.9,0.478,4.7,8.7,0.534,0.621,3.8,4.2,0.905,0.7,5.6,6.2,5.5,1.2,0.5,3.6,2.3,24.4,1310058,45,2,5
Taj Gibson,PF,35,NYK,8,0,13.6,1.3,2.5,0.5,0.1,0.6,0.2,1.1,1.9,0.6,0.525,0.4,0.8,0.5,1.4,1.8,3.1,0.5,0.3,0.4,0.3,1.9,3,3450,1,0,86.8
Harry Giles,C,22,POR,22,0,11.8,1.2,2.8,0.419,0.1,0.4,0.375,1,2.5,0.426,0.444,0.6,0.8,0.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2,3.1,1436,3,0,93.2
Shai Gilgeous-Alexander,SG,22,OKC,22,22,33.7,7.9,15.6,0.503,1.9,4.9,0.383,6,10.8,0.557,0.563,5,6.3,0.784,0.7,4.7,5.4,6.5,0.8,0.6,2.9,2,22.5,288073,26,0,37.5
Rudy Gobert,C,28,UTA,29,29,30.3,5.4,8.5,0.64,0,0,0,5.4,8.5,0.642,0.64,3.3,5.8,0.581,3.5,9.9,13.4,1.3,0.4,2.7,1.6,2.2,14.2,388106,35,5,8.8
Brandon Goodwin,PG,25,ATL,22,0,12.7,1.5,4.6,0.324,0.6,2.4,0.269,0.9,2.3,0.38,0.392,0.8,1.1,0.708,0.1,1.1,1.2,2,0.5,0,0.5,1,4.4,408,1,0,102.8
